time,value
2025-05-19T06:01:47.133836435Z,false
2025-05-19T06:02:05.151075741Z,false
2025-05-19T06:02:36.171111092Z,true
2025-05-19T06:02:39.180242295Z,false
2025-05-19T06:02:42.166407477Z,true
2025-05-19T06:02:45.165475833Z,false
2025-05-19T06:03:03.190021295Z,true
2025-05-19T06:03:06.700482714Z,false
2025-05-19T06:04:18.745635579Z,true
2025-05-19T06:04:21.721103908Z,false
2025-05-19T06:04:30.75101049Z,true
2025-05-19T06:04:37.202236056Z,false
2025-05-19T06:04:59.22547269Z,true
2025-05-19T06:05:09.690463648Z,false
2025-05-19T06:05:27.71649037Z,true
2025-05-19T06:05:35.270308595Z,false
2025-05-19T06:05:43.261168115Z,true
2025-05-19T06:05:48.260041339Z,false
2025-05-19T06:05:56.250238166Z,true
2025-05-19T06:06:01.360524109Z,false
2025-05-19T06:06:03.780470501Z,true
2025-05-19T06:06:08.290289557Z,false
2025-05-19T06:06:25.260561746Z,true
2025-05-19T06:06:29.240374425Z,false
2025-05-19T06:06:39.28552878Z,true
2025-05-19T06:06:43.261595685Z,false
2025-05-19T06:06:50.800679701Z,true
2025-05-19T06:06:55.280778523Z,false
2025-05-19T06:07:15.255534477Z,true
2025-05-19T06:07:22.780475034Z,false
2025-05-19T06:07:31.80854756Z,true
2025-05-19T06:07:37.320360352Z,false
2025-05-19T06:07:59.780490603Z,true
2025-05-19T06:08:05.340829366Z,false
2025-05-19T06:09:01.290907428Z,true
2025-05-19T06:09:06.285755324Z,false
2025-05-19T06:09:27.835829966Z,true
2025-05-19T06:09:31.797163178Z,false
2025-05-19T06:09:48.300719134Z,true
2025-05-19T06:09:52.807085557Z,false
2025-05-19T06:10:33.50081557Z,true
2025-05-19T06:10:42.000926948Z,false
2025-05-19T06:11:11.381712738Z,true
2025-05-19T06:11:41.658302296Z,true
2025-05-19T06:11:42.154039163Z,false
2025-05-19T06:11:43.193792275Z,true
2025-05-19T06:11:55.66368306Z,false
2025-05-19T06:12:08.193910485Z,true
2025-05-19T06:12:08.67878726Z,false
2025-05-19T06:12:15.174081311Z,true
2025-05-19T06:12:16.73422367Z,false
2025-05-19T06:12:18.219611195Z,true
2025-05-19T06:12:18.684048804Z,false
2025-05-19T06:12:55.191421757Z,true
2025-05-19T06:12:57.689026839Z,false
2025-05-19T06:13:13.344765863Z,true
2025-05-19T06:13:19.694024363Z,false
2025-05-19T06:13:59.758122743Z,true
2025-05-19T06:14:03.203867388Z,false
2025-05-19T06:14:55.18862733Z,false
2025-05-19T06:14:55.68949204Z,true
2025-05-19T06:14:58.194550752Z,false
2025-05-19T06:15:01.704378668Z,true
2025-05-19T06:15:19.533763363Z,false
2025-05-19T06:15:23.239335881Z,true
2025-05-19T06:15:28.764084767Z,false
2025-05-19T06:15:43.209612194Z,true
2025-05-19T06:15:49.239634226Z,false
2025-05-19T06:16:09.335763897Z,true
2025-05-19T06:16:12.775563809Z,false
2025-05-19T06:16:19.275577557Z,true
2025-05-19T06:16:24.74645529Z,false
2025-05-19T06:16:30.25628881Z,true
2025-05-19T06:16:36.77111682Z,false
2025-05-19T06:16:50.254411588Z,true
2025-05-19T06:16:58.814640841Z,false
2025-05-19T06:17:01.824572552Z,true
2025-05-19T06:17:07.284629438Z,false
2025-05-19T06:17:12.274092304Z,true
2025-05-19T06:17:15.314288752Z,false
2025-05-19T06:17:21.796273414Z,true
2025-05-19T06:17:27.775992097Z,false
2025-05-19T06:17:35.336224162Z,true
2025-05-19T06:17:39.826400014Z,false
2025-05-19T06:17:48.311395904Z,true
2025-05-19T06:17:51.815902764Z,false
2025-05-19T06:17:53.92077008Z,true
2025-05-19T06:17:59.335710619Z,false
2025-05-19T06:18:05.295477877Z,true
2025-05-19T06:18:08.815781025Z,false
2025-05-19T06:18:11.336179745Z,true
2025-05-19T06:18:45.817805268Z,false
2025-05-19T06:18:54.390656349Z,true
2025-05-19T06:19:03.877246629Z,false
2025-05-19T06:19:05.835803414Z,true
2025-05-19T06:19:11.335762336Z,false
2025-05-19T06:19:13.896311296Z,true
2025-05-19T06:19:19.565876795Z,false
2025-05-19T06:19:23.836072183Z,true
2025-05-19T06:19:28.876193711Z,false
2025-05-19T06:19:30.865682331Z,true
2025-05-19T06:19:41.396191357Z,false
2025-05-19T06:19:43.386864501Z,true
2025-05-19T06:20:12.386040569Z,false
2025-05-19T06:20:17.850502043Z,true
2025-05-19T06:20:27.861200039Z,false
2025-05-19T06:20:30.866796282Z,true
2025-05-19T06:20:37.455835531Z,false
2025-05-19T06:20:39.867273399Z,true
2025-05-19T06:20:42.420657281Z,false
2025-05-19T06:20:44.880493804Z,true
2025-05-19T06:20:54.416235586Z,false
2025-05-19T06:21:00.395895365Z,true
2025-05-19T06:21:03.455633657Z,false
2025-05-19T06:21:12.5965833Z,true
2025-05-19T06:21:22.9294482Z,false
2025-05-19T06:21:25.415677881Z,true
2025-05-19T06:21:27.905811815Z,false
2025-05-19T06:22:04.910644019Z,true
2025-05-19T06:22:11.935579683Z,false
2025-05-19T06:22:14.44097747Z,true
2025-05-19T06:22:44.935526127Z,false
2025-05-19T06:22:47.495750636Z,true
2025-05-19T06:22:54.996345091Z,false
2025-05-19T06:22:59.955646685Z,true
2025-05-19T06:23:02.985818245Z,false
2025-05-19T06:23:08.456112366Z,true
2025-05-19T06:23:20.955915456Z,false
2025-05-19T06:23:29.560868195Z,true
2025-05-19T06:23:35.460469144Z,false
2025-05-19T06:23:40.475924253Z,true
2025-05-19T06:23:42.975996385Z,false
2025-05-19T06:23:45.555905095Z,true
2025-05-19T06:23:48.500740469Z,false
2025-05-19T06:24:03.14543674Z,true
2025-05-19T06:24:18.515728173Z,false
2025-05-19T06:24:20.495472458Z,true
2025-05-19T06:24:23.535757066Z,false
2025-05-19T06:24:25.595942469Z,true
2025-05-19T06:24:30.53609217Z,false
2025-05-19T06:24:33.055824412Z,true
2025-05-19T06:25:19.556252867Z,false
2025-05-19T06:25:52.070368846Z,true
2025-05-19T06:25:56.556086699Z,false
2025-05-19T06:25:59.056013381Z,true
2025-05-19T06:26:10.085413921Z,false
2025-05-19T06:26:12.525759382Z,true
2025-05-19T06:26:32.025640139Z,false
2025-05-19T06:26:34.525269078Z,true
2025-05-19T06:26:49.195818611Z,false
2025-05-19T06:26:51.1055914Z,true
2025-05-19T06:27:01.596450762Z,false
2025-05-19T06:27:04.040922154Z,true
2025-05-19T06:27:07.096022208Z,false
2025-05-19T06:27:09.675987658Z,true
2025-05-19T06:27:24.076351054Z,false
2025-05-19T06:27:26.550534343Z,true
2025-05-19T06:27:29.635301043Z,false
