time,value
2025-05-19T06:21:25.415677881Z,Motion Detected.
2025-05-19T06:21:27.905811815Z,No Motion Detected.
2025-05-19T06:22:04.910644019Z,Motion Detected.
2025-05-19T06:22:11.935579683Z,No Motion Detected.
2025-05-19T06:22:14.44097747Z,Motion Detected.
2025-05-19T06:22:44.935526127Z,No Motion Detected.
2025-05-19T06:22:47.495750636Z,Motion Detected.
2025-05-19T06:22:54.996345091Z,No Motion Detected.
2025-05-19T06:22:59.955646685Z,Motion Detected.
2025-05-19T06:23:02.985818245Z,No Motion Detected.
2025-05-19T06:23:08.456112366Z,Motion Detected.
2025-05-19T06:23:20.955915456Z,No Motion Detected.
2025-05-19T06:23:29.560868195Z,Motion Detected.
2025-05-19T06:23:35.460469144Z,No Motion Detected.
2025-05-19T06:23:40.475924253Z,Motion Detected.
2025-05-19T06:23:42.975996385Z,No Motion Detected.
2025-05-19T06:23:45.555905095Z,Motion Detected.
2025-05-19T06:23:48.500740469Z,No Motion Detected.
2025-05-19T06:24:03.14543674Z,Motion Detected.
2025-05-19T06:24:18.515728173Z,No Motion Detected.
2025-05-19T06:24:20.495472458Z,Motion Detected.
2025-05-19T06:24:23.535757066Z,No Motion Detected.
2025-05-19T06:24:25.595942469Z,Motion Detected.
2025-05-19T06:24:30.53609217Z,No Motion Detected.
2025-05-19T06:24:33.055824412Z,Motion Detected.
2025-05-19T06:25:19.556252867Z,No Motion Detected.
2025-05-19T06:25:52.070368846Z,Motion Detected.
2025-05-19T06:25:56.556086699Z,No Motion Detected.
2025-05-19T06:25:59.056013381Z,Motion Detected.
2025-05-19T06:26:10.085413921Z,No Motion Detected.
2025-05-19T06:26:12.525759382Z,Motion Detected.
2025-05-19T06:26:32.025640139Z,No Motion Detected.
2025-05-19T06:26:34.525269078Z,Motion Detected.
2025-05-19T06:26:49.195818611Z,No Motion Detected.
2025-05-19T06:26:51.1055914Z,Motion Detected.
2025-05-19T06:27:01.596450762Z,No Motion Detected.
2025-05-19T06:27:04.040922154Z,Motion Detected.
2025-05-19T06:27:07.096022208Z,No Motion Detected.
2025-05-19T06:27:09.675987658Z,Motion Detected.
2025-05-19T06:27:24.076351054Z,No Motion Detected.
2025-05-19T06:27:26.550534343Z,Motion Detected.
2025-05-19T06:27:29.635301043Z,No Motion Detected.
2025-05-19T06:27:32.102187696Z,Motion Detected.
2025-05-19T06:27:42.574302234Z,No Motion Detected.
2025-05-19T06:28:36.105762672Z,Motion Detected.
2025-05-19T06:28:39.585228309Z,No Motion Detected.
2025-05-19T06:29:13.700432736Z,Motion Detected.
2025-05-19T06:29:17.715214024Z,No Motion Detected.
2025-05-19T06:30:22.16338416Z,Motion Detected.
2025-05-19T06:30:25.615335655Z,No Motion Detected.
2025-05-19T06:31:40.660569512Z,Motion Detected.
2025-05-19T06:31:45.305390016Z,No Motion Detected.
2025-05-19T06:32:04.660418506Z,Motion Detected.
2025-05-19T06:32:12.180661238Z,No Motion Detected.
2025-05-19T06:32:23.625591578Z,Motion Detected.
2025-05-19T06:32:28.66059048Z,No Motion Detected.
2025-05-19T06:32:31.190515861Z,Motion Detected.
2025-05-19T06:32:38.635504199Z,No Motion Detected.
2025-05-19T06:32:45.160602735Z,Motion Detected.
2025-05-19T06:32:50.160508126Z,No Motion Detected.
2025-05-19T06:33:14.700732124Z,Motion Detected.
2025-05-19T06:33:17.660931727Z,No Motion Detected.
2025-05-19T06:33:33.681184646Z,Motion Detected.
2025-05-19T06:33:40.650776023Z,No Motion Detected.
2025-05-19T06:33:50.171309482Z,Motion Detected.
2025-05-19T06:34:15.185577223Z,No Motion Detected.
2025-05-19T06:34:20.200943009Z,Motion Detected.
2025-05-19T06:34:30.225835601Z,No Motion Detected.
2025-05-19T06:34:44.176034061Z,Motion Detected.
2025-05-19T06:34:47.240545352Z,No Motion Detected.
2025-05-19T06:34:49.700329997Z,Motion Detected.
2025-05-19T06:34:52.740707184Z,No Motion Detected.
2025-05-19T06:34:54.69037395Z,Motion Detected.
2025-05-19T06:34:57.720521098Z,No Motion Detected.
2025-05-19T06:35:08.22533762Z,Motion Detected.
2025-05-19T06:35:15.721293101Z,No Motion Detected.
2025-05-19T06:36:09.880746815Z,Motion Detected.
2025-05-19T06:36:13.71050981Z,No Motion Detected.
2025-05-19T06:37:52.225403604Z,Motion Detected.
2025-05-19T06:37:55.281026593Z,No Motion Detected.
2025-05-19T06:38:49.77577628Z,Motion Detected.
2025-05-19T06:38:53.2708031Z,No Motion Detected.
2025-05-19T06:39:31.800309976Z,Motion Detected.
2025-05-19T07:53:56.595285169Z,Motion Detected.
2025-05-19T07:53:58.969723206Z,No Motion Detected.
2025-05-19T07:54:36.868604059Z,Motion Detected.
2025-05-19T07:54:42.879456479Z,No Motion Detected.
2025-05-19T07:54:49.893459845Z,Motion Detected.
2025-05-19T07:54:57.88367529Z,No Motion Detected.
2025-05-19T07:55:00.888643773Z,Motion Detected.
2025-05-19T07:55:06.354382308Z,No Motion Detected.
2025-05-19T07:55:08.868571227Z,Motion Detected.
2025-05-19T07:55:12.388688244Z,No Motion Detected.
2025-05-19T07:55:23.348490074Z,Motion Detected.
2025-05-19T07:55:27.443630292Z,No Motion Detected.
2025-05-19T07:55:30.408471474Z,Motion Detected.
2025-05-19T07:56:07.969660236Z,No Motion Detected.
2025-05-19T07:56:36.408889823Z,Motion Detected.
2025-05-19T07:56:41.889186441Z,No Motion Detected.
2025-05-19T07:56:44.913704157Z,Motion Detected.
2025-05-19T07:56:48.484248506Z,No Motion Detected.
2025-05-19T07:56:50.96335255Z,Motion Detected.
2025-05-19T07:56:55.914001992Z,No Motion Detected.
2025-05-19T07:57:00.409026583Z,Motion Detected.
2025-05-19T07:57:03.974606583Z,No Motion Detected.
2025-05-19T07:57:06.919959558Z,Motion Detected.
2025-05-19T07:57:12.953899781Z,No Motion Detected.
2025-05-19T07:58:01.444726256Z,Motion Detected.
2025-05-19T07:58:05.4286007Z,No Motion Detected.
2025-05-19T08:01:39.480902807Z,Motion Detected.
2025-05-19T08:01:44.075469499Z,No Motion Detected.
2025-05-19T08:02:07.95064711Z,Motion Detected.
2025-05-19T08:02:12.480424855Z,No Motion Detected.
2025-05-19T08:02:24.980981369Z,Motion Detected.
2025-05-19T08:02:32.490526679Z,No Motion Detected.
2025-05-19T08:02:41.489733106Z,Motion Detected.
2025-05-19T08:02:48.575114836Z,No Motion Detected.
2025-05-19T08:03:06.490023346Z,Motion Detected.
2025-05-19T08:03:12.120674463Z,No Motion Detected.
2025-05-19T08:03:19.510135546Z,Motion Detected.
2025-05-19T08:03:24.510060226Z,No Motion Detected.
2025-05-19T08:03:58.009250001Z,Motion Detected.
2025-05-19T08:04:00.998473671Z,No Motion Detected.
2025-05-19T08:04:20.508449133Z,Motion Detected.
2025-05-19T08:04:23.498406853Z,No Motion Detected.
2025-05-19T08:04:32.005324101Z,Motion Detected.
2025-05-19T08:04:40.560229108Z,No Motion Detected.
2025-05-19T08:04:52.546404081Z,Motion Detected.
2025-05-19T08:04:57.5499216Z,No Motion Detected.
2025-05-19T08:06:50.060279974Z,Motion Detected.
2025-05-19T08:06:56.220486418Z,No Motion Detected.
2025-05-19T08:06:58.535251166Z,Motion Detected.
2025-05-19T08:07:05.575812473Z,No Motion Detected.
2025-05-19T08:07:11.590300312Z,Motion Detected.
2025-05-19T08:07:17.090049923Z,No Motion Detected.
2025-05-19T08:07:45.054952558Z,Motion Detected.
2025-05-19T08:07:51.590053519Z,No Motion Detected.
2025-05-19T08:08:02.610472164Z,Motion Detected.
2025-05-19T08:08:07.730660131Z,No Motion Detected.
2025-05-19T08:08:44.668892387Z,Motion Detected.
2025-05-19T08:08:49.62909235Z,No Motion Detected.
2025-05-19T08:08:52.128585035Z,Motion Detected.
2025-05-19T08:08:56.724009841Z,No Motion Detected.
2025-05-19T08:10:04.608687393Z,Motion Detected.
2025-05-19T08:10:08.113586004Z,No Motion Detected.
2025-05-19T08:10:29.109011565Z,Motion Detected.
2025-05-19T08:10:33.650719601Z,No Motion Detected.
2025-05-19T08:10:48.615231179Z,Motion Detected.
2025-05-19T08:10:51.636205417Z,No Motion Detected.
2025-05-19T08:11:10.129887739Z,Motion Detected.
2025-05-19T08:11:15.130209607Z,No Motion Detected.
2025-05-19T08:11:24.67536142Z,Motion Detected.
2025-05-19T08:11:27.645226685Z,No Motion Detected.
2025-05-19T08:12:13.188477608Z,Motion Detected.
2025-05-19T08:12:19.658893732Z,No Motion Detected.
2025-05-19T08:12:47.143175902Z,Motion Detected.
2025-05-19T08:12:50.16997328Z,No Motion Detected.
2025-05-19T08:13:13.71010723Z,Motion Detected.
2025-05-19T08:13:18.678502261Z,No Motion Detected.
2025-05-19T08:13:29.730548334Z,Motion Detected.
2025-05-19T08:13:32.668660198Z,No Motion Detected.
2025-05-19T08:13:46.694448236Z,Motion Detected.
2025-05-19T08:13:53.764898353Z,No Motion Detected.
2025-05-19T08:14:09.708946807Z,Motion Detected.
2025-05-19T08:14:18.190129099Z,No Motion Detected.
2025-05-19T08:14:22.709397728Z,Motion Detected.
2025-05-19T08:14:27.70842751Z,No Motion Detected.
2025-05-19T08:14:37.184300694Z,Motion Detected.
2025-05-19T08:14:41.731017884Z,No Motion Detected.
2025-05-19T08:15:03.219000676Z,Motion Detected.
2025-05-19T08:15:06.209244264Z,No Motion Detected.
2025-05-19T08:15:46.7182883Z,Motion Detected.
2025-05-19T08:15:51.001158864Z,No Motion Detected.
